Date,Opening Balance,Actual Opening Balance,Daily Consumption,Closing Balance,Actual Closing Balance,System Closing Balance,Difference
1/1/2025,40000,39953,574,39426,39355,39426,71
2/1/2025,39426,39723,535,38891,38911,38891,-20
3/1/2025,38891,38792,368,38523,38411,38523,112
4/1/2025,38523,38612,220,38303,38197,38303,106
5/1/2025,38303,38461,878,37425,37297,37425,128
6/1/2025,37425,37685,940,36485,36541,36485,-56
7/1/2025,36485,36780,334,36151,36278,36151,-127
8/1/2025,36151,36032,650,35501,35396,35501,105
9/1/2025,35501,35283,1042,34459,34557,34459,-98
10/1/2025,34459,34318,1143,33316,33439,33316,-123
11/1/2025,33316,33553,547,32769,32854,32769,-85
12/1/2025,32769,32920,952,31817,31785,31817,32
13/01/2025,31817,31866,932,30885,30962,30885,-77
14/01/2025,30885,31177,941,29944,29973,29944,-29
15/01/2025,29944,29696,864,29080,29012,29080,68
16/01/2025,29080,28910,295,28785,28660,28785,125
17/01/2025,28785,28495,349,28436,28381,28436,55
18/01/2025,28436,28621,965,27471,27371,27471,100
19/01/2025,27471,27641,313,27158,27094,27158,64
20/01/2025,27158,27149,885,26273,26179,26273,94
21/01/2025,26273,26562,877,25396,25301,25396,95
22/01/2025,25396,25608,912,24484,24594,24484,-110
23/01/2025,24484,24727,1009,23475,23435,23475,40
24/01/2025,23475,23368,373,23102,23169,23102,-67
25/01/2025,23102,23243,878,22224,22282,22224,-58
26/01/2025,22224,22018,1043,21181,21102,21181,79
27/01/2025,21181,21071,1037,20144,20127,20144,17
28/01/2025,20144,20358,902,19242,19227,19242,15
29/01/2025,19242,19506,1009,18233,18199,18233,34
30/01/2025,18233,18034,1166,17067,17103,17067,-36
31/01/2025,17067,17071,906,16161,16038,16161,123
1/2/2025,16161,16013,238,15923,15876,15923,47
2/2/2025,15923,15947,544,15379,15407,15379,-28
3/2/2025,15379,15501,570,14809,14660,14809,149
4/2/2025,14809,14651,1120,13689,13601,13689,88
5/2/2025,13689,13450,903,12786,12717,12786,69
6/2/2025,12786,12807,1063,11723,11694,11723,29
7/2/2025,11723,11983,435,11288,11176,11288,112
8/2/2025,11288,11377,697,10591,10622,10591,-31
9/2/2025,10591,10680,976,9615,9605,9615,10
10/2/2025,9615,9359,429,9186,9059,9186,127
11/2/2025,9186,9317,228,8958,8971,8958,-13
12/2/2025,8958,9154,932,8026,8061,8026,-35
13/02/2025,8026,8067,726,7300,7414,7300,-114
14/02/2025,7300,7173,345,6955,7045,6955,-90
15/02/2025,6955,7052,1156,5799,5691,5799,108
16/02/2025,5799,5531,725,5074,5103,5074,-29
17/02/2025,5074,5057,956,4118,4128,4118,-10
18/02/2025,4118,4384,419,3699,3766,3699,-67
19/02/2025,3699,3798,1156,2543,2524,2543,19
20/02/2025,2543,2356,940,1603,1629,1603,-26
21/02/2025,1603,1385,1000,603,664,603,-61
22/02/2025,603,384,708,-105,-89,-105,-16
23/02/2025,-105,-128,1069,-1174,-1220,-1174,46
24/02/2025,-1174,-1296,553,-1727,-1741,-1727,14
25/02/2025,-1727,-1636,243,-1970,-1929,-1970,-41
26/02/2025,-1970,-2148,960,-2930,-2919,-2930,-11
27/02/2025,-2930,-2701,597,-3527,-3525,-3527,-2
28/02/2025,-3527,-3478,295,-3822,-3722,-3822,-100
1/3/2025,-3822,-3948,990,-4812,-4906,-4812,94
2/3/2025,-4812,-4880,865,-5677,-5820,-5677,143
3/3/2025,-5677,-5927,753,-6430,-6401,-6430,-29
4/3/2025,-6430,-6183,874,-7304,-7170,-7304,-134
5/3/2025,-7304,-7176,1158,-8462,-8346,-8462,-116
6/3/2025,-8462,-8563,894,-9356,-9208,-9356,-148
7/3/2025,-9356,-9489,296,-9652,-9771,-9652,119
8/3/2025,-9652,-9872,1150,-10802,-10830,-10802,28
9/3/2025,-10802,-10956,754,-11556,-11578,-11556,22
10/3/2025,-11556,-11508,845,-12401,-12443,-12401,42
11/3/2025,-12401,-12630,1061,-13462,-13531,-13462,69
12/3/2025,-13462,-13350,758,-14220,-14366,-14220,146
13/03/2025,-14220,-14380,984,-15204,-15157,-15204,-47
14/03/2025,-15204,-15164,1059,-16263,-16157,-16263,-106
15/03/2025,-16263,-16083,385,-16648,-16647,-16648,-1
16/03/2025,-16648,-16811,697,-17345,-17305,-17345,-40
17/03/2025,-17345,-17239,729,-18074,-18039,-18074,-35
18/03/2025,-18074,-17776,456,-18530,-18679,-18530,149
19/03/2025,-18530,-18386,1148,-19678,-19652,-19678,-26
20/03/2025,-19678,-19571,934,-20612,-20463,-20612,-149
21/03/2025,-20612,-20719,360,-20972,-21064,-20972,92
22/03/2025,-20972,-20896,561,-21533,-21656,-21533,123
23/03/2025,-21533,-21471,904,-22437,-22509,-22437,72
24/03/2025,-22437,-22508,503,-22940,-22980,-22940,40
25/03/2025,-22940,-23028,1141,-24081,-23981,-24081,-100
26/03/2025,-24081,-24364,770,-24851,-24829,-24851,-22
27/03/2025,-24851,-24623,322,-25173,-25215,-25173,42
28/03/2025,-25173,-25022,749,-25922,-25969,-25922,47
29/03/2025,-25922,-25905,308,-26230,-26150,-26230,-80
30/03/2025,-26230,-26241,1001,-27231,-27327,-27231,96
31/03/2025,-27231,-27080,978,-28209,-28264,-28209,55
1/4/2025,-28209,-28120,655,-28864,-28778,-28864,-86
2/4/2025,-28864,-29026,875,-29739,-29594,-29739,-145
3/4/2025,-29739,-29553,619,-30358,-30256,-30358,-102
4/4/2025,-30358,-30346,245,-30603,-30548,-30603,-55
5/4/2025,-30603,-30829,798,-31401,-31411,-31401,10
6/4/2025,-31401,-31697,424,-31825,-31682,-31825,-143
7/4/2025,-31825,-31875,1153,-32978,-33101,-32978,123
8/4/2025,-32978,-32927,617,-33595,-33451,-33595,-144
9/4/2025,-33595,-33296,812,-34407,-34531,-34407,124
10/4/2025,-34407,-34368,941,-35348,-35249,-35348,-99
11/4/2025,-35348,-35458,315,-35663,-35636,-35663,-27
12/4/2025,-35663,-35627,617,-36280,-36133,-36280,-147
13/04/2025,-36280,-36056,1199,-37479,-37587,-37479,108
14/04/2025,-37479,-37402,1022,-38501,-38628,-38501,127
15/04/2025,-38501,-38416,530,-39031,-39127,-39031,96
16/04/2025,-39031,-38829,246,-39277,-39361,-39277,84
17/04/2025,-39277,-39213,236,-39513,-39522,-39513,9
18/04/2025,-39513,-39596,470,-39983,-40111,-39983,128
19/04/2025,-39983,-40223,1184,-41167,-41151,-41167,-16
20/04/2025,-41167,-41056,889,-42056,-42069,-42056,13
21/04/2025,-42056,-42080,498,-42554,-42542,-42554,-12
22/04/2025,-42554,-42751,557,-43111,-43144,-43111,33
23/04/2025,-43111,-43105,1197,-44308,-44430,-44308,122
24/04/2025,-44308,-44079,375,-44683,-44542,-44683,-141
25/04/2025,-44683,-44646,339,-45022,-44998,-45022,-24
26/04/2025,-45022,-44777,395,-45417,-45344,-45417,-73
27/04/2025,-45417,-45527,890,-46307,-46431,-46307,124
28/04/2025,-46307,-46321,1116,-47423,-47467,-47423,44
29/04/2025,-47423,-47499,353,-47776,-47771,-47776,-5
30/04/2025,-47776,-47544,718,-48494,-48570,-48494,76
1/5/2025,-48494,-48587,901,-49395,-49303,-49395,-92
2/5/2025,-49395,-49536,488,-49883,-49940,-49883,57
3/5/2025,-49883,-49842,572,-50455,-50576,-50455,121
4/5/2025,-50455,-50225,219,-50674,-50791,-50674,117
5/5/2025,-50674,-50924,844,-51518,-51518,-51518,0
6/5/2025,-51518,-51646,489,-52007,-52050,-52007,43
7/5/2025,-52007,-52217,897,-52904,-52872,-52904,-32
8/5/2025,-52904,-53130,1091,-53995,-53881,-53995,-114
9/5/2025,-53995,-53750,965,-54960,-54886,-54960,-74
10/5/2025,-54960,-54929,458,-55418,-55400,-55418,-18
11/5/2025,-55418,-55445,861,-56279,-56178,-56279,-101
12/5/2025,-56279,-56169,1090,-57369,-57488,-57369,119
13/05/2025,-57369,-57098,1095,-58464,-58348,-58464,-116
14/05/2025,-58464,-58205,240,-58704,-58615,-58704,-89
15/05/2025,-58704,-58513,852,-59556,-59487,-59556,-69
16/05/2025,-59556,-59367,226,-59782,-59836,-59782,54
17/05/2025,-59782,-60054,200,-59982,-59860,-59982,-122
18/05/2025,-59982,-60056,274,-60256,-60113,-60256,-143
19/05/2025,-60256,-60350,945,-61201,-61269,-61201,68
20/05/2025,-61201,-61191,349,-61550,-61522,-61550,-28
21/05/2025,-61550,-61802,569,-62119,-62236,-62119,117
22/05/2025,-62119,-62007,730,-62849,-62751,-62849,-98
23/05/2025,-62849,-62603,255,-63104,-63183,-63104,79
24/05/2025,-63104,-63356,487,-63591,-63513,-63591,-78
25/05/2025,-63591,-63783,903,-64494,-64432,-64494,-62
26/05/2025,-64494,-64210,771,-65265,-65182,-65265,-83
27/05/2025,-65265,-65471,827,-66092,-66019,-66092,-73
28/05/2025,-66092,-65795,304,-66396,-66443,-66396,47
29/05/2025,-66396,-66280,294,-66690,-66773,-66690,83
30/05/2025,-66690,-66540,863,-67553,-67696,-67553,143
31/05/2025,-67553,-67487,470,-68023,-68061,-68023,38
1/6/2025,-68023,-67808,1136,-69159,-69095,-69159,-64
2/6/2025,-69159,-68996,954,-70113,-70065,-70113,-48
3/6/2025,-70113,-70113,1178,-71291,-71196,-71291,-95
4/6/2025,-71291,-71254,817,-72108,-72020,-72108,-88
5/6/2025,-72108,-72126,905,-73013,-73031,-73013,18
6/6/2025,-73013,-73042,827,-73840,-73909,-73840,69
7/6/2025,-73840,-73940,1017,-74857,-74874,-74857,17
8/6/2025,-74857,-74585,811,-75668,-75617,-75668,-51
9/6/2025,-75668,-75604,808,-76476,-76409,-76476,-67
10/6/2025,-76476,-76508,987,-77463,-77468,-77463,5
11/6/2025,-77463,-77750,631,-78094,-78014,-78094,-80
12/6/2025,-78094,-77902,552,-78646,-78520,-78646,-126
13/06/2025,-78646,-78439,722,-79368,-79312,-79368,-56
14/06/2025,-79368,-79437,668,-80036,-79999,-80036,-37
15/06/2025,-80036,-80211,620,-80656,-80524,-80656,-132
16/06/2025,-80656,-80679,735,-81391,-81368,-81391,-23
17/06/2025,-81391,-81629,891,-82282,-82323,-82282,41
18/06/2025,-82282,-82046,759,-83041,-82971,-83041,-70
19/06/2025,-83041,-83045,1127,-84168,-84084,-84168,-84
20/06/2025,-84168,-84006,340,-84508,-84572,-84508,64
21/06/2025,-84508,-84684,231,-84739,-84661,-84739,-78
22/06/2025,-84739,-84940,432,-85171,-85237,-85171,66
23/06/2025,-85171,-85277,637,-85808,-85766,-85808,-42
24/06/2025,-85808,-85567,839,-86647,-86609,-86647,-38
25/06/2025,-86647,-86389,517,-87164,-87173,-87164,9
26/06/2025,-87164,-87459,1098,-88262,-88391,-88262,129
27/06/2025,-88262,-88322,631,-88893,-88897,-88893,4
28/06/2025,-88893,-88697,819,-89712,-89692,-89712,-20
29/06/2025,-89712,-89486,954,-90666,-90530,-90666,-136
30/06/2025,-90666,-90911,355,-91021,-91025,-91021,4
